"x"
"1" "LEADERS	That  SHOULD  be a cause for celebration on both sides of the border"
"660" "INTERNATIONAL	In this sectionLooming shadows Fewer are called Nowhere to call home Reprints     The Vatican argues that the offences in question, though repugnant,  SHOULD  not be counted as torture"
"661" "INTERNATIONAL	Last year a court in the Dominican Republic ruled that citizens of Haitian descent born since the country’s constitution was written in 1929  SHOULD  have their citizenship status reviewed and “corrected”, making more than 200,000 people stateless and excluding them from schools, health care and formal jobs"
"662" "INTERNATIONAL	“We  SHOULD  do nothing to suggest that it is acceptable"
"663" "BUSINESS	The answer the court gave on May 13th was, to the surprise of many, that Google  SHOULD  do as he asked"
"664" "BUSINESS	Google called the ruling “disappointing” (according to reports from the Googleplex in Silicon Valley the word  SHOULD  have been “infuriating”)"
"665" "BUSINESS	The best thing about the court’s decision is that it has revived the debate on how (and whether) the internet  SHOULD  be regulated"
"666" "BUSINESS	Europe’s arguments about privacy are mirrored in America’s endless debate about network neutrality, the principle that all internet traffic  SHOULD  be treated equally"
"667" "BUSINESS	He  SHOULD  have seen it coming"
"668" "BUSINESS	Anyone connected with the two firms  SHOULD  probably count himself lucky that they uncoupled before rings were exchanged"
"669" "BUSINESS	Large chunks of Citigroup have since been offloaded, as if to confirm that the merger  SHOULD  never have been consummated in the first place"
"670" "BUSINESS	Their record is so bad that any talk of a merger of equals  SHOULD  set alarm bells ringing"
"671" "LEADERS	That an agreement  SHOULD  come now, after a decade of haggling, is no accident"
"672" "LEADERS	But the West  SHOULD  not panic"
"673" "LEADERS	In this sectionIndia’s strongman Press down, pop up Best frenemies In need of new oomph A very British binge Reprints     What  SHOULD  be done to forestall that outcome"
"674" "LEADERS	Dream conditions for house-builders (debt is cheap, as are labourers)  SHOULD  be creating a building boom"
"675" "LEADERS	Mr Carney  SHOULD  call time on it"
"676" "LEADERS	And he  SHOULD  deploy his new “macroprudential” powers: the plan to “stress test” banks against a 35% house-price crash and a jump in unemployment is a good one"
"677" "LEADERS	Mr Cameron  SHOULD  demand a faster planning process"
"678" "LETTERS	And whereas his policy recommendations are certainly unworkable, he  SHOULD  be given credit for injecting a moralist dimension into economic debates that often masquerade as value-free, objective undertakings"
"679" "LETTERS	Mr Piketty  SHOULD  not be ignored"
"680" "LETTERS	Big Data’s pursuit of “what”  SHOULD  be symbiotically linked to empiricism’s pursuit of “why”, which would increase the real strength of data analytics and accelerate scientific discovery collaboratively with empiricism"
"681" "LETTERS	Lexington, and voters,  SHOULD  always ask for verifying evidence that data analysis results are true in the real world"
"682" "LETTERS	Why  SHOULD  politicians be exempted from them"
"683" "BRIEFING	This, the clearest result since 1984,  SHOULD  mean stable, decisive and predictable rule"
"684" "BRIEFING	He has big advantages—administrative competence, control over his party and a majority in Parliament—that  SHOULD  ease decision-making"
"685" "BRIEFING	Mr Modi  SHOULD  back Mr Rajan, who is keen to stay in his job"
"686" "BRIEFING	A proposed direct-tax code, and a goods-and-services tax (GST),  SHOULD  achieve this"
"687" "BRIEFING	The bureaucracy needs to be reformed; Bimal Jalan, a former central-bank governor, says the number of ministries  SHOULD  be cut"
"688" "ASIA	Mr Prabowo can credibly claim that his coalition, which also includes his own Great Indonesia Movement Party, or Gerindra, plus three Islamic parties, can command the support of the legislature  SHOULD  he become president"
"689" "ASIA	The Jokowi camp  SHOULD  not panic about Mr Prabowo’s boost, but neither "
"690" "ASIA	In 2009 almost a fifth of children from mixed-race households who  SHOULD  have been in school were not"
"691" "ASIA	The other hope is that China realises, in Mr Aquino’s words, that its “ability to carry on growing depends on the goodwill of the rest of the world”—ie, that it  SHOULD  restrain itself"
"692" "EUROPE	“Turkey  SHOULD  be an important partner for the US during a period of persistent instability in a key region of the world"
"693" "EUROPE	As for economic worries, inflows of money from Ukraine and the Gulf are helping to plug the current-account deficit and Turkey’s energy bill  SHOULD  decline once cheap Iraqi Kurdish oil comes on stream"
"694" "BRITAIN	There have been hiccups—sales growth slowed on the new website and a planned distribution centre near London will now not be built—but all this  SHOULD  pay off eventually"
"695" "BRITAIN	Mr Cameron  SHOULD  get behind his improbable plan to blow a kiss across the border forthwith"
"696" "BUSINESS	These servers  SHOULD  bolster Lenovo’s efforts to appeal to corporate clients"
"697" "BUSINESS	If regulators approve—America’s are sure to scrutinise the IBM deal carefully, since its government agencies buy those servers—both deals  SHOULD  close by the end of the year"
"698" "BUSINESS	Now, says Mr Yang, entering America  SHOULD  cost a more manageable 10% of handset revenues"
"699" "BUSINESS	AT&T and DirecTV  SHOULD  be able to share sales channels, too"
"700" "BUSINESS	In all, claims Randall Stephenson, AT&T’s boss, the deal  SHOULD  yield annual savings of $1"
"701" "BUSINESS	Today they are questioning long-held beliefs about what  SHOULD  orbit what"
"702" "BUSINESS	So if the Times is anxious, they  SHOULD  be too"
"703" "BUSINESS	New niche data-management firms are entering the market, which  SHOULD  help make it more competitive"
"704" "LETTERS	If the British and the Europeans can’t be bothered to deal with issues in their backyard why  SHOULD  the Americans"
"705" "AMERICAS	Since then politicians and pundits have been analysing the events, which unfolded as Brazil hosted the Confederations Cup, a warm-up tournament for the football World Cup that begins on June 12th—and trying to work out whether they  SHOULD  brace for a replay"
"706" "ASIA	One military decree rules that no one  SHOULD  voice opinions that will further “divide the public”"
"707" "ASIA	In theory that  SHOULD  be manageable, given Mr Modi’s hands-on style (senior bureaucrats are already briefing him)"
"708" "ASIA	Despite being urged by his generals to apply “conditions-based” criteria to how long the residual force  SHOULD  be deployed in Afghanistan, Mr Obama announced a strict timetable that appears to owe everything to the cycle of American politics and nothing to realities on the ground"
"709" "ASIA	To prevent that, the panel’s report points out, the average Japanese woman  SHOULD  have 2"
"710" "CHINA	Mr Xi appears to have abandoned Deng’s post-Tiananmen dictum that China  SHOULD  “hide its capacities and bide its time”"
"711" "EUROPE	One hopeful outcome will be to get the commission to streamline its work and reaffirm the doctrine of “subsidiarity”, whereby the EU  SHOULD  only do things that are demonstrably dealt with more efficiently at European level"
"712" "EUROPE	Rather, he sees the party as an anti-euro and yet pro-EU party: one that believes in a peaceful union of sovereign states which, according to the principle of subsidiarity,  SHOULD  be left by Brussels to run their own affairs and, according to existing treaties, must not vouch for each other’s debts"
"713" "EUROPE	With six Golden Dawn lawmakers absent pending trial, it  SHOULD  be easier for Mr Samaras to push through parliament yet another set of structural reforms demanded by the European Union and the IMF"
"714" "EUROPE	The candidate of the biggest group, it was argued,  SHOULD  become president of the commission"
"715" "EUROPE	Even so, his Socialists & Democrats (S&D) group agreed only that Mr Juncker  SHOULD  be first to try winning a majority, not that he "
"716" "EUROPE	That leaves the option for Mr Schulz, or indeed Guy Verhofstadt, the candidate of the Liberal ALDE group, to try their luck  SHOULD  Mr Juncker fail"
"717" "EUROPE	Their objections are both of principle (the parliament  SHOULD  not dictate terms to the European Council) and of personality (Mr Juncker embodies old-style federalism)"
"718" "BRITAIN	And staffers predict that its strong performance  SHOULD  attract fresh donors"
"719" "BRITAIN	In general elections it is usually twice that, which  SHOULD  benefit the mainstream parties"
"720" "BRITAIN	The economic recovery  SHOULD  also help them (see article)"
